País de origen	Nationality	País de nacimiento	Five-year age group	Sex	Period	Total
Bulgaria	Spanish 	País de origen	Total	Males	2016	15
Bulgaria	Spanish 	País de origen	Total	Males	2015	24
Bulgaria	Spanish 	País de origen	Total	Males	2014	28
Bulgaria	Spanish 	País de origen	Total	Males	2013	22
Bulgaria	Spanish 	País de origen	Total	Males	2012	20
Bulgaria	Spanish 	País de origen	Total	Males	2011	15
Bulgaria	Spanish 	País de origen	Total	Males	2010	13
Bulgaria	Spanish 	País de origen	Total	Males	2009	26
Bulgaria	Spanish 	País de origen	Total	Males	2008	19
Bulgaria	Spanish 	País de origen	Total	Females	2019	9
Bulgaria	Spanish 	País de origen	Total	Females	2018	20
Bulgaria	Spanish 	País de origen	Total	Females	2017	30
Bulgaria	Spanish 	País de origen	Total	Females	2016	19
Bulgaria	Spanish 	País de origen	Total	Females	2015	21
Bulgaria	Spanish 	País de origen	Total	Females	2014	9
Bulgaria	Spanish 	País de origen	Total	Females	2013	24
Bulgaria	Spanish 	País de origen	Total	Females	2012	17
Bulgaria	Spanish 	País de origen	Total	Females	2011	13
Bulgaria	Spanish 	País de origen	Total	Females	2010	13
Bulgaria	Spanish 	País de origen	Total	Females	2009	19
Bulgaria	Spanish 	País de origen	Total	Females	2008	21
Bulgaria	Spanish 	Otros	Total	Males	2019	5
Bulgaria	Spanish 	Otros	Total	Males	2018	1
Bulgaria	Spanish 	Otros	Total	Males	2017	1
Bulgaria	Spanish 	Otros	Total	Males	2016	3
Bulgaria	Spanish 	Otros	Total	Males	2015	0
Bulgaria	Spanish 	Otros	Total	Males	2014	2
Bulgaria	Spanish 	Otros	Total	Males	2013	2
Bulgaria	Spanish 	Otros	Total	Males	2012	2
Bulgaria	Spanish 	Otros	Total	Males	2011	0
Bulgaria	Spanish 	Otros	Total	Males	2010	2
Bulgaria	Spanish 	Otros	Total	Males	2009	""
Bulgaria	Spanish 	Otros	Total	Males	2008	1
Bulgaria	Spanish 	Otros	Total	Females	2019	2
Bulgaria	Spanish 	Otros	Total	Females	2018	0
Bulgaria	Spanish 	Otros	Total	Females	2017	2
Bulgaria	Spanish 	Otros	Total	Females	2016	1
Bulgaria	Spanish 	Otros	Total	Females	2015	3
Bulgaria	Spanish 	Otros	Total	Females	2014	0
Bulgaria	Spanish 	Otros	Total	Females	2013	2
Bulgaria	Spanish 	Otros	Total	Females	2012	4
Bulgaria	Spanish 	Otros	Total	Females	2011	1
Bulgaria	Spanish 	Otros	Total	Females	2010	""
Bulgaria	Spanish 	Otros	Total	Females	2009	0
Bulgaria	Spanish 	Otros	Total	Females	2008	0
Bulgaria	Extranjera	Spain	Total	Males	2019	24
Bulgaria	Extranjera	Spain	Total	Males	2018	18
Bulgaria	Extranjera	Spain	Total	Males	2017	68
Bulgaria	Extranjera	Spain	Total	Males	2016	100
Bulgaria	Extranjera	Spain	Total	Males	2015	64
Bulgaria	Extranjera	Spain	Total	Males	2014	61
Bulgaria	Extranjera	Spain	Total	Males	2013	57
Bulgaria	Extranjera	Spain	Total	Males	2012	66
Bulgaria	Extranjera	Spain	Total	Males	2011	61
Bulgaria	Extranjera	Spain	Total	Males	2010	36
Bulgaria	Extranjera	Spain	Total	Males	2009	36
Bulgaria	Extranjera	Spain	Total	Males	2008	23
Bulgaria	Extranjera	Spain	Total	Females	2019	25
Bulgaria	Extranjera	Spain	Total	Females	2018	20
Bulgaria	Extranjera	Spain	Total	Females	2017	52
Bulgaria	Extranjera	Spain	Total	Females	2016	61
Bulgaria	Extranjera	Spain	Total	Females	2015	55
Bulgaria	Extranjera	Spain	Total	Females	2014	49
Bulgaria	Extranjera	Spain	Total	Females	2013	50
Bulgaria	Extranjera	Spain	Total	Females	2012	66
Bulgaria	Extranjera	Spain	Total	Females	2011	37
Bulgaria	Extranjera	Spain	Total	Females	2010	42
Bulgaria	Extranjera	Spain	Total	Females	2009	26
Bulgaria	Extranjera	Spain	Total	Females	2008	28
Bulgaria	Extranjera	País de origen	Total	Males	2019	2,625
Bulgaria	Extranjera	País de origen	Total	Males	2018	2,530
Bulgaria	Extranjera	País de origen	Total	Males	2017	2,783
Bulgaria	Extranjera	País de origen	Total	Males	2016	2,361
Bulgaria	Extranjera	País de origen	Total	Males	2015	2,291
Bulgaria	Extranjera	País de origen	Total	Males	2014	2,129
Bulgaria	Extranjera	País de origen	Total	Males	2013	2,287
Bulgaria	Extranjera	País de origen	Total	Males	2012	2,807
Bulgaria	Extranjera	País de origen	Total	Males	2011	4,801
Bulgaria	Extranjera	País de origen	Total	Males	2010	4,047
Bulgaria	Extranjera	País de origen	Total	Males	2009	3,774
Bulgaria	Extranjera	País de origen	Total	Males	2008	5,257
Bulgaria	Extranjera	País de origen	Total	Females	2019	2,542
Bulgaria	Extranjera	País de origen	Total	Females	2018	2,460
Bulgaria	Extranjera	País de origen	Total	Females	2017	2,873
Bulgaria	Extranjera	País de origen	Total	Females	2016	2,411
Bulgaria	Extranjera	País de origen	Total	Females	2015	2,304
Bulgaria	Extranjera	País de origen	Total	Females	2014	2,258
Bulgaria	Extranjera	País de origen	Total	Females	2013	2,354
Bulgaria	Extranjera	País de origen	Total	Females	2012	3,106
Bulgaria	Extranjera	País de origen	Total	Females	2011	4,807
Bulgaria	Extranjera	País de origen	Total	Females	2010	4,125
Bulgaria	Extranjera	País de origen	Total	Females	2009	3,724
Bulgaria	Extranjera	País de origen	Total	Females	2008	5,250
Bulgaria	Extranjera	Otros	Total	Males	2019	66
Bulgaria	Extranjera	Otros	Total	Males	2018	47
Bulgaria	Extranjera	Otros	Total	Males	2017	56
Bulgaria	Extranjera	Otros	Total	Males	2016	247
Bulgaria	Extranjera	Otros	Total	Males	2015	83
Bulgaria	Extranjera	Otros	Total	Males	2014	67
Bulgaria	Extranjera	Otros	Total	Males	2013	97
Bulgaria	Extranjera	Otros	Total	Males	2012	92
Bulgaria	Extranjera	Otros	Total	Males	2011	84
Bulgaria	Extranjera	Otros	Total	Males	2010	51
Bulgaria	Extranjera	Otros	Total	Males	2009	30
Bulgaria	Extranjera	Otros	Total	Males	2008	51
Bulgaria	Extranjera	Otros	Total	Females	2019	54
Bulgaria	Extranjera	Otros	Total	Females	2018	44
Bulgaria	Extranjera	Otros	Total	Females	2017	38
Bulgaria	Extranjera	Otros	Total	Females	2016	62
Bulgaria	Extranjera	Otros	Total	Females	2015	56
Bulgaria	Extranjera	Otros	Total	Females	2014	67
Bulgaria	Extranjera	Otros	Total	Females	2013	58
Bulgaria	Extranjera	Otros	Total	Females	2012	54
Bulgaria	Extranjera	Otros	Total	Females	2011	78
Bulgaria	Extranjera	Otros	Total	Females	2010	48
Bulgaria	Extranjera	Otros	Total	Females	2009	30
Bulgaria	Extranjera	Otros	Total	Females	2008	42
Denmark	Spanish 	Spain	Total	Males	2019	75
Denmark	Spanish 	Spain	Total	Males	2018	67
Denmark	Spanish 	Spain	Total	Males	2017	59
Denmark	Spanish 	Spain	Total	Males	2016	49
Denmark	Spanish 	Spain	Total	Males	2015	32
Denmark	Spanish 	Spain	Total	Males	2014	26
Denmark	Spanish 	Spain	Total	Males	2013	18
Denmark	Spanish 	Spain	Total	Males	2012	21
Denmark	Spanish 	Spain	Total	Males	2011	22
Denmark	Spanish 	Spain	Total	Males	2010	26
Denmark	Spanish 	Spain	Total	Males	2009	19
Denmark	Spanish 	Spain	Total	Males	2008	28
Denmark	Spanish 	Spain	Total	Females	2019	43
Denmark	Spanish 	Spain	Total	Females	2018	57
Denmark	Spanish 	Spain	Total	Females	2017	57
Denmark	Spanish 	Spain	Total	Females	2016	43
Denmark	Spanish 	Spain	Total	Females	2015	26
Denmark	Spanish 	Spain	Total	Females	2014	18
Denmark	Spanish 	Spain	Total	Females	2013	15
Denmark	Spanish 	Spain	Total	Females	2012	20
Denmark	Spanish 	Spain	Total	Females	2011	22
Denmark	Spanish 	Spain	Total	Females	2010	27
Denmark	Spanish 	Spain	Total	Females	2009	25
Denmark	Spanish 	Spain	Total	Females	2008	28
Denmark	Spanish 	País de origen	Total	Males	2019	16
Denmark	Spanish 	País de origen	Total	Males	2018	13
Denmark	Spanish 	País de origen	Total	Males	2017	8
Denmark	Spanish 	País de origen	Total	Males	2016	7
Denmark	Spanish 	País de origen	Total	Males	2015	7
Denmark	Spanish 	País de origen	Total	Males	2014	7
Denmark	Spanish 	País de origen	Total	Males	2013	4
Denmark	Spanish 	País de origen	Total	Males	2012	6
Denmark	Spanish 	País de origen	Total	Males	2011	5
Denmark	Spanish 	País de origen	Total	Males	2010	5
Denmark	Spanish 	País de origen	Total	Males	2009	9
Denmark	Spanish 	País de origen	Total	Males	2008	10
Denmark	Spanish 	País de origen	Total	Females	2019	14
Denmark	Spanish 	País de origen	Total	Females	2018	13
Denmark	Spanish 	País de origen	Total	Females	2017	15
Denmark	Spanish 	País de origen	Total	Females	2016	12
Denmark	Spanish 	País de origen	Total	Females	2015	9
Denmark	Spanish 	País de origen	Total	Females	2014	4
Denmark	Spanish 	País de origen	Total	Females	2013	8
Denmark	Spanish 	País de origen	Total	Females	2012	8
Denmark	Spanish 	País de origen	Total	Females	2011	2
Denmark	Spanish 	País de origen	Total	Females	2010	6
Denmark	Spanish 	País de origen	Total	Females	2009	7
Denmark	Spanish 	País de origen	Total	Females	2008	3
Denmark	Spanish 	Otros	Total	Males	2019	12
Denmark	Spanish 	Otros	Total	Males	2018	16
Denmark	Spanish 	Otros	Total	Males	2017	14
Denmark	Spanish 	Otros	Total	Males	2016	11
Denmark	Spanish 	Otros	Total	Males	2015	3
Denmark	Spanish 	Otros	Total	Males	2014	9
Denmark	Spanish 	Otros	Total	Males	2013	6
Denmark	Spanish 	Otros	Total	Males	2012	2
Denmark	Spanish 	Otros	Total	Males	2011	3
Denmark	Spanish 	Otros	Total	Males	2010	1
Denmark	Spanish 	Otros	Total	Males	2009	2
Denmark	Spanish 	Otros	Total	Males	2008	2
Denmark	Spanish 	Otros	Total	Females	2019	18
Denmark	Spanish 	Otros	Total	Females	2018	8
Denmark	Spanish 	Otros	Total	Females	2017	11
Denmark	Spanish 	Otros	Total	Females	2016	4
Denmark	Spanish 	Otros	Total	Females	2015	2
Denmark	Spanish 	Otros	Total	Females	2014	7
Denmark	Spanish 	Otros	Total	Females	2013	2
Denmark	Spanish 	Otros	Total	Females	2012	2
Denmark	Spanish 	Otros	Total	Females	2011	2
Denmark	Spanish 	Otros	Total	Females	2010	""
Denmark	Spanish 	Otros	Total	Females	2009	3
Denmark	Spanish 	Otros	Total	Females	2008	2
Denmark	Extranjera	Spain	Total	Males	2019	3
Denmark	Extranjera	Spain	Total	Males	2018	4
Denmark	Extranjera	Spain	Total	Males	2017	8
Denmark	Extranjera	Spain	Total	Males	2016	4
Denmark	Extranjera	Spain	Total	Males	2015	4
Denmark	Extranjera	Spain	Total	Males	2014	4
Denmark	Extranjera	Spain	Total	Males	2013	6
Denmark	Extranjera	Spain	Total	Males	2012	12
Denmark	Extranjera	Spain	Total	Males	2011	5
Denmark	Extranjera	Spain	Total	Males	2010	3
Denmark	Extranjera	Spain	Total	Males	2009	4
Denmark	Extranjera	Spain	Total	Males	2008	4
Denmark	Extranjera	Spain	Total	Females	2019	4
Denmark	Extranjera	Spain	Total	Females	2018	6
Denmark	Extranjera	Spain	Total	Females	2017	4
Denmark	Extranjera	Spain	Total	Females	2016	8
Denmark	Extranjera	Spain	Total	Females	2015	6
Denmark	Extranjera	Spain	Total	Females	2014	8
Denmark	Extranjera	Spain	Total	Females	2013	6
Denmark	Extranjera	Spain	Total	Females	2012	4
Denmark	Extranjera	Spain	Total	Females	2011	1
Denmark	Extranjera	Spain	Total	Females	2010	6
Denmark	Extranjera	Spain	Total	Females	2009	5
Denmark	Extranjera	Spain	Total	Females	2008	5
Denmark	Extranjera	País de origen	Total	Males	2019	426
Denmark	Extranjera	País de origen	Total	Males	2018	435
Denmark	Extranjera	País de origen	Total	Males	2017	400
Denmark	Extranjera	País de origen	Total	Males	2016	327
Denmark	Extranjera	País de origen	Total	Males	2015	335
Denmark	Extranjera	País de origen	Total	Males	2014	316
Denmark	Extranjera	País de origen	Total	Males	2013	303
Denmark	Extranjera	País de origen	Total	Males	2012	354
Denmark	Extranjera	País de origen	Total	Males	2011	295
Denmark	Extranjera	País de origen	Total	Males	2010	282
Denmark	Extranjera	País de origen	Total	Males	2009	257
Denmark	Extranjera	País de origen	Total	Males	2008	350
Denmark	Extranjera	País de origen	Total	Females	2019	307
Denmark	Extranjera	País de origen	Total	Females	2018	301
Denmark	Extranjera	País de origen	Total	Females	2017	323
Denmark	Extranjera	País de origen	Total	Females	2016	273
Denmark	Extranjera	País de origen	Total	Females	2015	244
Denmark	Extranjera	País de origen	Total	Females	2014	266
Denmark	Extranjera	País de origen	Total	Females	2013	266
Denmark	Extranjera	País de origen	Total	Females	2012	293
Denmark	Extranjera	País de origen	Total	Females	2011	262
Denmark	Extranjera	País de origen	Total	Females	2010	250
Denmark	Extranjera	País de origen	Total	Females	2009	237
Denmark	Extranjera	País de origen	Total	Females	2008	273
Denmark	Extranjera	Otros	Total	Males	2019	131
Denmark	Extranjera	Otros	Total	Males	2018	111
Denmark	Extranjera	Otros	Total	Males	2017	124
Denmark	Extranjera	Otros	Total	Males	2016	98
Denmark	Extranjera	Otros	Total	Males	2015	85
Denmark	Extranjera	Otros	Total	Males	2014	44
Denmark	Extranjera	Otros	Total	Males	2013	63
Denmark	Extranjera	Otros	Total	Males	2012	87
Denmark	Extranjera	Otros	Total	Males	2011	61
Denmark	Extranjera	Otros	Total	Males	2010	42
Denmark	Extranjera	Otros	Total	Males	2009	59
Denmark	Extranjera	Otros	Total	Males	2008	94
Denmark	Extranjera	Otros	Total	Females	2019	186
Denmark	Extranjera	Otros	Total	Females	2018	170
Denmark	Extranjera	Otros	Total	Females	2017	156
Denmark	Extranjera	Otros	Total	Females	2016	132
Denmark	Extranjera	Otros	Total	Females	2015	148
Denmark	Extranjera	Otros	Total	Females	2014	117
Denmark	Extranjera	Otros	Total	Females	2013	114
Denmark	Extranjera	Otros	Total	Females	2012	80
Denmark	Extranjera	Otros	Total	Females	2011	99
Denmark	Extranjera	Otros	Total	Females	2010	101
Denmark	Extranjera	Otros	Total	Females	2009	63
Denmark	Extranjera	Otros	Total	Females	2008	62
Finland	Spanish 	Spain	Total	Males	2019	34
Finland	Spanish 	Spain	Total	Males	2018	32
Finland	Spanish 	Spain	Total	Males	2017	38
Finland	Spanish 	Spain	Total	Males	2016	32
Finland	Spanish 	Spain	Total	Males	2015	33
Finland	Spanish 	Spain	Total	Males	2014	6
Finland	Spanish 	Spain	Total	Males	2013	16
Finland	Spanish 	Spain	Total	Males	2012	17
Finland	Spanish 	Spain	Total	Males	2011	11
Finland	Spanish 	Spain	Total	Males	2010	9
Finland	Spanish 	Spain	Total	Males	2009	13
Finland	Spanish 	Spain	Total	Males	2008	13
Finland	Spanish 	Spain	Total	Females	2019	22
Finland	Spanish 	Spain	Total	Females	2018	24
Finland	Spanish 	Spain	Total	Females	2017	26
Finland	Spanish 	Spain	Total	Females	2016	14
Finland	Spanish 	Spain	Total	Females	2015	21
Finland	Spanish 	Spain	Total	Females	2014	11
Finland	Spanish 	Spain	Total	Females	2013	8
Finland	Spanish 	Spain	Total	Females	2012	16
Finland	Spanish 	Spain	Total	Females	2011	8
Finland	Spanish 	Spain	Total	Females	2010	13
Finland	Spanish 	Spain	Total	Females	2009	4
Finland	Spanish 	Spain	Total	Females	2008	8
Finland	Spanish 	País de origen	Total	Males	2019	10
Finland	Spanish 	País de origen	Total	Males	2018	2
Finland	Spanish 	País de origen	Total	Males	2017	9
Finland	Spanish 	País de origen	Total	Males	2016	6
Finland	Spanish 	País de origen	Total	Males	2015	9
Finland	Spanish 	País de origen	Total	Males	2014	""
Finland	Spanish 	País de origen	Total	Males	2013	6
Finland	Spanish 	País de origen	Total	Males	2012	2
Finland	Spanish 	País de origen	Total	Males	2011	5
Finland	Spanish 	País de origen	Total	Males	2010	3
Finland	Spanish 	País de origen	Total	Males	2009	3
Finland	Spanish 	País de origen	Total	Males	2008	6
Finland	Spanish 	País de origen	Total	Females	2019	10
Finland	Spanish 	País de origen	Total	Females	2018	9
Finland	Spanish 	País de origen	Total	Females	2017	8
Finland	Spanish 	País de origen	Total	Females	2016	8
Finland	Spanish 	País de origen	Total	Females	2015	9
Finland	Spanish 	País de origen	Total	Females	2014	5
Finland	Spanish 	País de origen	Total	Females	2013	5
Finland	Spanish 	País de origen	Total	Females	2012	4
Finland	Spanish 	País de origen	Total	Females	2011	3
Finland	Spanish 	País de origen	Total	Females	2010	4
Finland	Spanish 	País de origen	Total	Females	2009	""
Finland	Spanish 	País de origen	Total	Females	2008	7
Finland	Spanish 	Otros	Total	Males	2019	0
Finland	Spanish 	Otros	Total	Males	2018	1
Finland	Spanish 	Otros	Total	Males	2017	4
Finland	Spanish 	Otros	Total	Males	2016	3
Finland	Spanish 	Otros	Total	Males	2015	4
Finland	Spanish 	Otros	Total	Males	2014	0
Finland	Spanish 	Otros	Total	Males	2013	1
Finland	Spanish 	Otros	Total	Males	2012	1
Finland	Spanish 	Otros	Total	Males	2011	3
Finland	Spanish 	Otros	Total	Males	2010	2
Finland	Spanish 	Otros	Total	Males	2009	2
Finland	Spanish 	Otros	Total	Males	2008	1
Finland	Spanish 	Otros	Total	Females	2019	4
Finland	Spanish 	Otros	Total	Females	2018	4
Finland	Spanish 	Otros	Total	Females	2017	3
Finland	Spanish 	Otros	Total	Females	2016	1
Finland	Spanish 	Otros	Total	Females	2015	2
Finland	Spanish 	Otros	Total	Females	2014	1
Finland	Spanish 	Otros	Total	Females	2013	0
Finland	Spanish 	Otros	Total	Females	2012	1
Finland	Spanish 	Otros	Total	Females	2011	0
Finland	Spanish 	Otros	Total	Females	2010	2
Finland	Spanish 	Otros	Total	Females	2009	""
Finland	Spanish 	Otros	Total	Females	2008	0
Finland	Extranjera	Spain	Total	Males	2019	1
Finland	Extranjera	Spain	Total	Males	2018	2
Finland	Extranjera	Spain	Total	Males	2017	4
Finland	Extranjera	Spain	Total	Males	2016	4
Finland	Extranjera	Spain	Total	Males	2015	4
Finland	Extranjera	Spain	Total	Males	2014	2
Finland	Extranjera	Spain	Total	Males	2013	1
Finland	Extranjera	Spain	Total	Males	2012	1
Finland	Extranjera	Spain	Total	Males	2011	4
Finland	Extranjera	Spain	Total	Males	2010	3
Finland	Extranjera	Spain	Total	Males	2009	2
Finland	Extranjera	Spain	Total	Males	2008	3
Finland	Extranjera	Spain	Total	Females	2019	2
Finland	Extranjera	Spain	Total	Females	2018	2
